BUKU 1,,,,,,,,,,,,,
,,,,,,,,,,,,,
Bab,Nota Perubahan,Kalimah Asal (Arab),Jamak/Mufrad,Terjemahan (BM),Terjemahan (BI),Nota BM,Nota English,Nota Nahu (Arab),Nota Nahu (BM),Nota Nahu (English),Nota Sarf (Arab),Nota Sarf (BM),Nota Sarf (English)
1,,مَا,,Apa,What,"Digunakan untuk bertanya tentang benda, perkara atau hakikat sesuatu.","Used to ask about a thing, matter or the nature of something.",اسم استفهام، مبني,Kalimah ini ialah isim istifham yang bersifat mabni.,An interrogative pronoun. It is indeclinable.,,,
1,Konteks dan contoh ditambah. Soalan yang dimulakan dengan أَ...؟ biasanya dijawab dengan نَعَمْ untuk jawapan “ya” dan لَا untuk jawapan “tidak”.,أَ...؟,,Adakah ...?,Is / Are ...?,"Hamzah istifham diletakkan pada awal ayat untuk membentuk soalan yang memerlukan jawapan نَعَمْ atau لَا. Contoh: أَهٰذَا بَيْتٌ؟ نَعَمْ، هٰذَا بَيْتٌ — Adakah ini sebuah rumah? Ya, ini sebuah rumah. أَهٰذَا مَسْجِدٌ؟ لَا، هٰذَا بَيْتٌ — Adakah ini sebuah masjid? Tidak, ini sebuah rumah.","The interrogative hamzah is placed at the beginning of a sentence to form a question answered with نَعَمْ for “yes” or لَا for “no”. Example: أَهٰذَا بَيْتٌ؟ نَعَمْ، هٰذَا بَيْتٌ — Is this a house? Yes, this is a house. أَهٰذَا مَسْجِدٌ؟ لَا، هٰذَا بَيْتٌ — Is this a mosque? No, this is a house.",هَمْزَةُ الِاسْتِفْهَامِ حَرْفُ اسْتِفْهَامٍ مَبْنِيٌّ لَا مَحَلَّ لَهُ مِنَ الْإِعْرَابِ، وَيُجَابُ عَنْ سُؤَالِهَا بِنَعَمْ أَوْ لَا,Hamzah istifham ialah harf pertanyaan yang bersifat mabni dan tidak mempunyai محل i‘rab. Soalan yang menggunakannya lazimnya dijawab dengan نَعَمْ atau لَا.,The interrogative hamzah is an indeclinable interrogative particle with no syntactic case position. Questions formed with it are normally answered with نَعَمْ or لَا.,,,
1,,نَعَمْ,,Ya,Yes,Digunakan untuk memberikan jawapan yang membenarkan atau mengesahkan sesuatu soalan.,Used to give an affirmative answer to a question.,حرف جواب وتصديق، مبني,Kalimah ini ialah harf jawab dan tasdiq yang bersifat mabni serta tidak mempunyai kedudukan i‘rab.,A particle of response and affirmation. It is indeclinable and has no syntactic case position.,,,
1,,قَمِيصٌ,"قُمْصَانٌ (J. Taksir, Ruj: Bab 17)",Baju kemeja,Shirt,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه قُمْصَانٌ، جمع تكسير على وزن فُعْلَان,Jamaknya قُمْصَانٌ ialah jamak taksir pada wazan فُعْلَان.,Its plural قُمْصَانٌ is a broken plural on the pattern فُعْلَان.
1,,لَا,,Tidak,No,"Dalam bab ini, لَا digunakan sebagai jawapan negatif. Dalam konteks lain, لَا boleh mempunyai fungsi nahu yang berbeza.","In this chapter, لَا is used as a negative answer. In other contexts, it may perform other grammatical functions.",حرف نفي وجواب، مبني,"Dalam penggunaan ini, kalimah ini ialah harf nafi dan harf jawab yang bersifat mabni serta tidak mempunyai kedudukan i‘rab.","In this usage, it is a particle of negation and response. It is indeclinable and has no syntactic case position.",,,
1,,نَجْمٌ,نُجُومٌ (J. Taksir),Bintang,Star,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه نُجُومٌ، جمع تكسير على وزن فُعُول,Jamaknya نُجُومٌ ialah jamak taksir pada wazan فُعُول.,Its plural نُجُومٌ is a broken plural on the pattern فُعُول.
1,,مَنْ,,Siapa,Who,Digunakan untuk bertanya tentang manusia atau makhluk yang berakal.,Used to ask about a person or a rational being.,اسم استفهام، مبني,Kalimah ini ialah isim istifham yang bersifat mabni.,An interrogative pronoun used for rational beings. It is indeclinable.,,,
1,,طَبِيبٌ,"أَطِبَّاءُ (J. Taksir, Ruj: Bab 13)",Doktor,Doctor,Bentuk muannathnya ialah طَبِيبَةٌ.,Its feminine form is طَبِيبَةٌ.,اسم مفرد، مذكر، معرب. جمعه أَطِبَّاءُ ممنوع من الصرف لألف التأنيث الممدودة,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab. Bentuk jamaknya أَطِبَّاءُ ialah mamnu‘ min al-sarf kerana berakhir dengan alif ta’nith mamdudah.,A singular masculine and declinable noun. Its plural أَطِبَّاءُ is diptotic because it ends with alif al-taʾnīth al-mamdūdah.,جمعه أَطِبَّاءُ، جمع تكسير,Jamaknya أَطِبَّاءُ ialah jamak taksir.,Its plural أَطِبَّاءُ is a broken plural.
1,,وَلَدٌ,"أَوْلَادٌ (J. Taksir, Ruj: Bab 13)",Budak lelaki / Anak lelaki,Boy / Son,"Boleh merujuk budak lelaki atau anak lelaki, bergantung pada konteks.","It may refer to a boy or a son, depending on context.",اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه أَوْلَادٌ، جمع تكسير على وزن أَفْعَال,Jamaknya أَوْلَادٌ ialah jamak taksir pada wazan أَفْعَال.,Its plural أَوْلَادٌ is a broken plural on the pattern أَفْعَال.
1,,طَالِبٌ,"طُلَّابٌ (J. Taksir, Ruj: Bab 13)",Pelajar,Student,Bentuk muannathnya ialah طَالِبَةٌ.,Its feminine form is طَالِبَةٌ.,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,اسم فاعل من طَلَبَ، على وزن فَاعِل. جمعه طُلَّابٌ، جمع تكسير على وزن فُعَّال,Kalimah ini ialah isim fa‘il daripada طَلَبَ pada wazan فَاعِل. Jamaknya طُلَّابٌ ialah jamak taksir pada wazan فُعَّال.,An active participle derived from طَلَبَ on the pattern فَاعِل. Its plural طُلَّابٌ is a broken plural on the pattern فُعَّال.
1,,رَجُلٌ,"رِجَالٌ (J. Taksir, Ruj: Bab 13)",Lelaki,Man,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه رِجَالٌ، جمع تكسير على وزن فِعَال,Jamaknya رِجَالٌ ialah jamak taksir pada wazan فِعَال.,Its plural رِجَالٌ is a broken plural on the pattern فِعَال.
1,,تَاجِرٌ,"تُجَّارٌ (J. Taksir, Ruj: Bab 13)",Peniaga,Merchant / Trader,Bentuk muannathnya ialah تَاجِرَةٌ.,Its feminine form is تَاجِرَةٌ.,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,اسم فاعل من تَجَرَ، على وزن فَاعِل. جمعه تُجَّارٌ، جمع تكسير على وزن فُعَّال,Kalimah ini ialah isim fa‘il daripada تَجَرَ pada wazan فَاعِل. Jamaknya تُجَّارٌ ialah jamak taksir pada wazan فُعَّال.,An active participle derived from تَجَرَ on the pattern فَاعِل. Its plural تُجَّارٌ is a broken plural on the pattern فُعَّال.
1,,كَلْبٌ,"كِلَابٌ (J. Taksir, Ruj: Bab 16)",Anjing,Dog,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه كِلَابٌ، جمع تكسير على وزن فِعَال,Jamaknya كِلَابٌ ialah jamak taksir pada wazan فِعَال.,Its plural كِلَابٌ is a broken plural on the pattern فِعَال.
1,,قِطٌّ,قِطَطٌ (J. Taksir),Kucing,Cat,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه قِطَطٌ، جمع تكسير على وزن فِعَل,Jamaknya قِطَطٌ ialah jamak taksir pada wazan فِعَل.,Its plural قِطَطٌ is a broken plural on the pattern فِعَل.
1,,حِمَارٌ,"حُمُرٌ (J. Taksir, Ruj: Bab 16/17)",Keldai,Donkey,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه حُمُرٌ، جمع تكسير على وزن فُعُل,Jamaknya حُمُرٌ ialah jamak taksir pada wazan فُعُل.,Its plural حُمُرٌ is a broken plural on the pattern فُعُل.
1,,حِصَانٌ,أَحْصِنَةٌ (J. Taksir),Kuda,Horse,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه أَحْصِنَةٌ، جمع تكسير على وزن أَفْعِلَة,Jamaknya أَحْصِنَةٌ ialah jamak taksir pada wazan أَفْعِلَة.,Its plural أَحْصِنَةٌ is a broken plural on the pattern أَفْعِلَة.
1,,جَمَلٌ,جِمَالٌ (J. Taksir),Unta,Camel,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه جِمَالٌ، جمع تكسير على وزن فِعَال,Jamaknya جِمَالٌ ialah jamak taksir pada wazan فِعَال.,Its plural جِمَالٌ is a broken plural on the pattern فِعَال.
1,,دِيكٌ,دُيُوكٌ (J. Taksir),Ayam jantan,Rooster,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه دُيُوكٌ، جمع تكسير على وزن فُعُول,Jamaknya دُيُوكٌ ialah jamak taksir pada wazan فُعُول.,Its plural دُيُوكٌ is a broken plural on the pattern فُعُول.
1,,مُدَرِّسٌ,"مُدَرِّسُونَ (J. Mz. Salim, Ruj: Bab 13)",Guru / Pengajar,Teacher / Instructor,Bentuk muannathnya ialah مُدَرِّسَةٌ.,Its feminine form is مُدَرِّسَةٌ.,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,اسم فاعل من دَرَّسَ، على وزن مُفَعِّل. جمعه مُدَرِّسُونَ جمع مذكر سالم في حالة الرفع,Kalimah ini ialah isim fa‘il daripada دَرَّسَ pada wazan مُفَعِّل. Jamaknya مُدَرِّسُونَ ialah jamak muzakkar salim dalam keadaan marfu‘.,An active participle derived from دَرَّسَ on the pattern مُفَعِّل. Its plural مُدَرِّسُونَ is the nominative form of the sound masculine plural.
1,,مِنْدِيلٌ,"مَنَادِيلُ (J. Taksir, Ruj: Bab 22)",Sapu tangan,Handkerchief,"Bergantung pada konteks, kalimah ini juga boleh merujuk tisu atau napkin.","Depending on context, this word may also refer to a tissue or napkin.",اسم مفرد، مذكر، معرب. جمعه مَنَادِيلُ ممنوع من الصرف لصيغة منتهى الجموع,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab. Bentuk jamaknya مَنَادِيلُ ialah mamnu‘ min al-sarf kerana berada pada sighah muntaha al-jumu‘.,A singular masculine and declinable noun. Its plural مَنَادِيلُ is diptotic because it follows ṣīghat muntahā al-jumūʿ.,جمعه مَنَادِيلُ، جمع تكسير على وزن مَفَاعِيل,Jamaknya مَنَادِيلُ ialah jamak taksir pada wazan مَفَاعِيل.,Its plural مَنَادِيلُ is a broken plural on the pattern مَفَاعِيل.
2,,ذَلِكَ,,Itu,That,Digunakan untuk menunjukkan sesuatu yang jauh dan berbentuk mufrad muzakkar.,Used to point to a distant singular masculine referent.,اسم إشارة، للمفرد المذكر البعيد، مبني على الفتح,Isim isyarah untuk mufrad muzakkar yang jauh. Kalimah ini mabni atas fathah.,A demonstrative pronoun for a distant singular masculine referent. It is indeclinable on fatḥ.,,,
2,,وَ,,Dan,And,"Digunakan untuk menghubungkan dua perkataan, frasa atau ayat.","Used to coordinate two words, phrases or clauses.",حرف عطف، مبني على الفتح، لا محل له من الإعراب,Harf ‘ataf yang mabni atas fathah dan tidak mempunyai kedudukan i‘rab.,"A coordinating conjunction, indeclinable on fatḥ, with no syntactic case position.",,,
2,,إِمَامٌ,أَئِمَّةٌ (J. Taksir),Imam,Imam,Orang yang memimpin solat; boleh juga bermaksud pemimpin atau tokoh ikutan.,A person who leads prayer; it may also mean a leader or an authority.,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه أَئِمَّةٌ، جمع تكسير,Jamaknya أَئِمَّةٌ ialah jamak taksir.,Its plural أَئِمَّةٌ is a broken plural.
2,,حَجَرٌ,أَحْجَارٌ (J. Taksir),Batu,Stone,,,اسم مفرد، مذكر، معرب,Kalimah ini ialah isim mufrad muzakkar dan bersifat mu‘rab.,A singular masculine noun. It is declinable.,جمعه أَحْجَارٌ، جمع تكسير على وزن أَفْعَال,Jamaknya أَحْجَارٌ ialah jamak taksir pada wazan أَفْعَال.,Its plural أَحْجَارٌ is a broken plural on the pattern أَفْعَال.
2,,سُكَّرٌ,,Gula,Sugar,Nama bagi bahan atau zat yang tidak dihitung secara individu dalam penggunaan biasa.,A mass noun referring to a substance that is not normally counted as individual units.,اسم جنس إفرادي، مذكر، معرب,Isim jins ifradi bagi suatu bahan. Kalimah ini muzakkar dan bersifat mu‘rab.,An individual generic mass noun. It is masculine and declinable.,,,
2,,لَبَنٌ,,Susu,Milk,"Dalam bahasa Arab fusha, لَبَنٌ biasanya merujuk susu; maknanya boleh berbeza sedikit mengikut penggunaan wilayah.","In Standard Arabic, لَبَنٌ commonly refers to milk; regional usage may vary slightly.",اسم جنس إفرادي، مذكر، معرب,Isim jins ifradi bagi suatu bahan. Kalimah ini muzakkar dan bersifat mu‘rab.,An individual generic mass noun. It is masculine and declinable.,,,
3,,اَلْـ,,Alif Lam Ma‘rifah,The definite article,Diletakkan pada awal isim untuk menjadikannya ma‘rifah. Sebutan lam bergantung pada huruf selepasnya.,Prefixed to a noun to make it definite. The pronunciation of lām depends on the following letter.,حرف تعريف، مبني، لا محل له من الإعراب,Harf ta‘rif yang bersifat mabni dan tidak mempunyai kedudukan i‘rab.,The definite article. It is indeclinable and has no syntactic case position.,,,
3,,مَكْسُورٌ,"مَكَاسِيرُ (J. Taksir, Mamnu‘ Min Sarf)",Pecah / Patah,Broken,,,صفة مفردة، مذكرة، معربة. جمعه مَكَاسِيرُ ممنوع من الصرف لصيغة منتهى الجموع,Kalimah ini ialah sifat mufrad muzakkar dan bersifat mu‘rab. Bentuk jamaknya مَكَاسِيرُ ialah mamnu‘ min al-sarf kerana berada pada sighah muntaha al-jumu‘.,A singular masculine adjective. It is declinable. Its plural مَكَاسِيرُ is diptotic because it follows ṣīghat muntahā al-jumūʿ.,اسم مفعول من كَسَرَ، على وزن مَفْعُول. جمعه مَكَاسِيرُ على وزن مَفَاعِيل,Isim maf‘ul daripada كَسَرَ pada wazan مَفْعُول. Jamaknya مَكَاسِيرُ pada wazan مَفَاعِيل.,A passive participle derived from كَسَرَ on the pattern مَفْعُول. Its plural مَكَاسِيرُ follows مَفَاعِيل.
3,Jamak dibetulkan daripada مَفَاتِيحُ kepada مَفْتُوحُونَ. مَفَاتِيحُ ialah jamak bagi مِفْتَاحٌ.,مَفْتُوحٌ,مَفْتُوحُونَ (J. Mz. Salim),Terbuka,Open,"Apabila menerangkan jamak bukan manusia, sifat ini lazimnya digunakan dalam bentuk muannath mufrad: مَفْتُوحَةٌ.","With a non-human plural noun, this adjective normally appears in the feminine singular form: مَفْتُوحَةٌ.",صفة مفردة، مذكرة، معربة,Kalimah ini ialah sifat mufrad muzakkar dan bersifat mu‘rab.,A singular masculine adjective. It is declinable.,اسم مفعول من فَتَحَ، على وزن مَفْعُول. جمع المذكر السالم منه مَفْتُوحُونَ في حالة الرفع,Isim maf‘ul daripada فَتَحَ pada wazan مَفْعُول. Bentuk jamak muzakkar salim ketika marfu‘ ialah مَفْتُوحُونَ.,A passive participle derived from فَتَحَ on the pattern مَفْعُول. Its nominative sound masculine plural is مَفْتُوحُونَ.
3,,جَالِسٌ,,Orang yang duduk / Sedang duduk,Sitting / Seated,Isim fa‘il yang menerangkan seseorang yang berada dalam keadaan duduk. Contoh: هٰذَا طَالِبٌ جَالِسٌ — Ini seorang pelajar yang sedang duduk.,An active participle describing someone who is in a sitting position. Example: هٰذَا طَالِبٌ جَالِسٌ — This is a student who is sitting.,اسم فاعل مفرد، مذكر، معرب,Isim fa‘il dalam bentuk mufrad muzakkar dan bersifat mu‘rab.,A singular masculine active participle. It is declinable.,اسم فاعل من جَلَسَ يَجْلِسُ، على وزن فَاعِل,Isim fa‘il daripada جَلَسَ يَجْلِسُ pada wazan فَاعِل.,An active participle derived from جَلَسَ يَجْلِسُ on the pattern فَاعِل.
3,,وَاقِفٌ,وُقُوفٌ (J. Taksir),Berdiri,Standing,,,صفة مفردة، مذكرة، معربة,Kalimah ini ialah sifat mufrad muzakkar dan bersifat mu‘rab.,A singular masculine adjective. It is declinable.,اسم فاعل من وَقَفَ، على وزن فَاعِل. الفعل مثال واوي، ومن جموعه وُقُوفٌ,Isim fa‘il daripada وَقَفَ pada wazan فَاعِل. Kata kerjanya ialah fi‘il mithal wawi. Antara jamaknya ialah وُقُوفٌ.,An active participle derived from وَقَفَ on the pattern فَاعِل. The verb is wāw-initial assimilated (mithāl wāwī). One of its plurals is وُقُوفٌ.
3,,حَدِيدٌ,,Besi,Iron,Nama bagi bahan logam dan digunakan sebagai isim jins.,A mass noun denoting the metal iron.,اسم جنس إفرادي، مذكر، معرب,Isim jins ifradi bagi suatu bahan. Kalimah ini muzakkar dan bersifat mu‘rab.,An individual generic mass noun. It is masculine and declinable.,,,
3,,قَدِيمٌ,"قُدَمَاءُ (J. Taksir, Mamnu‘ Min Sarf)",Lama / Usang,Old / Ancient,,,صفة مفردة، مذكرة، معربة. جمعه قُدَمَاءُ ممنوع من الصرف لألف التأنيث الممدودة,Kalimah ini ialah sifat mufrad muzakkar dan bersifat mu‘rab. Bentuk jamaknya قُدَمَاءُ ialah mamnu‘ min al-sarf kerana berakhir dengan alif ta’nith mamdudah.,A singular masculine adjective. It is declinable. Its plural قُدَمَاءُ is diptotic because it ends with alif al-taʾnīth al-mamdūdah.,صفة مشبهة من قَدُمَ، على وزن فَعِيل. جمعه قُدَمَاءُ على وزن فُعَلَاء,Sifah musyabbahah daripada قَدُمَ pada wazan فَعِيل. Jamaknya قُدَمَاءُ pada wazan فُعَلَاء.,A qualitative adjective derived from قَدُمَ on the pattern فَعِيل. Its plural قُدَمَاءُ follows فُعَلَاء.
3,,صَغِيرٌ,"صِغَارٌ (J. Taksir, Ruj: Bab 13)",Kecil,Small,,,صفة مفردة، مذكرة، معربة,Kalimah ini ialah sifat mufrad muzakkar dan bersifat mu‘rab.,A singular masculine adjective. It is declinable.,صفة مشبهة من صَغُرَ، على وزن فَعِيل. جمعه صِغَارٌ على وزن فِعَال,Sifah musyabbahah daripada صَغُرَ pada wazan فَعِيل. Jamaknya صِغَارٌ pada wazan فِعَال.,A qualitative adjective derived from صَغُرَ on the pattern فَعِيل. Its plural صِغَارٌ follows فِعَال.
3,,كَبِيرٌ,"كِبَارٌ (J. Taksir, Ruj: Bab 13)",Besar,Big / Large,,,صفة مفردة، مذكرة، معربة,Kalimah ini ialah sifat mufrad muzakkar dan bersifat mu‘rab.,A singular masculine adjective. It is declinable.,صفة مشبهة من كَبُرَ، على وزن فَعِيل. جمعه كِبَارٌ على وزن فِعَال,Sifah musyabbahah daripada كَبُرَ pada wazan فَعِيل. Jamaknya كِبَارٌ pada wazan فِعَال.,A qualitative adjective derived from كَبُرَ on the pattern فَعِيل. Its plural كِبَارٌ follows فِعَال.
3,Jamak أَوْسَاخٌ dibetulkan kepada وَسِخُونَ. أَوْسَاخٌ ialah jamak bagi وَسَخٌ yang bermaksud kotoran.,وَسِخٌ,وَسِخُونَ (J. Mz. Salim),Kotor,Dirty,"Apabila menerangkan jamak bukan manusia, sifat ini lazimnya digunakan dalam bentuk muannath mufrad: وَسِخَةٌ.","With a non-human plural noun, this adjective normally appears in the feminine singular form: وَسِخَةٌ.",صفة مفردة، مذكرة، معربة,Kalimah ini ialah sifat mufrad muzakkar dan bersifat mu‘rab.,A singular masculine adjective. It is declinable.,صفة مشبهة من وَسِخَ، على وزن فَعِل. جمع المذكر السالم منه وَسِخُونَ في حالة الرفع,Sifah musyabbahah daripada وَسِخَ pada wazan فَعِل. Bentuk jamak muzakkar salim ketika marfu‘ ialah وَسِخُونَ.,A qualitative adjective derived from وَسِخَ on the pattern فَعِل. Its nominative sound masculine plural is وَسِخُونَ.
3,,اَلْقَمَرُ,أَقْمَارٌ (J. Taksir),Bulan,Moon,,,اسم معرف بـ(أل)، مفرد، مذكر، معرب,Isim mufrad muzakkar yang menjadi ma‘rifah dengan alif lam dan bersifat mu‘rab.,A singular masculine noun made definite by the Arabic definite article. It is declinable.,جمعه أَقْمَارٌ، جمع تكسير على وزن أَفْعَال,Jamaknya أَقْمَارٌ ialah jamak taksir pada wazan أَفْعَال.,Its plural أَقْمَارٌ is a broken plural on the pattern أَفْعَال.
